pair_id,tier,text_a,text_b,expected_relation,risk_note,cos_qwen3_0.6b_no_instruct,cos_qwen3_0.6b_instruct,cos_qwen3_vl_2b_no_instruct,cos_qwen3_vl_2b_instruct,cos_vn_embedding_no_instruct,cos_text3large
T1-01,1_paraphrase,Quyết định số 198/QĐ-TCT được ban hành ngày 15/03/2026.,"Ngày 15/03/2026, Quyết định 198/QĐ-TCT chính thức được ban hành.",cosine rất cao (sàn trên),Cùng 1 fact viết lại khác cấu trúc câu,0.9215,0.9445,0.9339,0.9531,0.9223,0.8629
T1-02,1_paraphrase,"Thuê bao phải đăng ký lại thông tin trước ngày 30/06/2026, nếu không sẽ bị khoá một chiều.","Nếu không cập nhật thông tin thuê bao trước 30/06/2026, số điện thoại sẽ bị khoá chiều gọi đi.",cosine rất cao,Diễn giải lại toàn câu nhưng giữ nguyên nghĩa,0.6998,0.8210,0.7714,0.8140,0.7312,0.7864
T1-03,1_paraphrase,"Gói cước MIU có giá 50.000đ/tháng, bao gồm 4GB data tốc độ cao.","MIU là gói cước 50.000 đồng mỗi tháng, tặng kèm 4GB dữ liệu tốc độ cao.",cosine rất cao,Đảo cấu trúc chủ ngữ-vị ngữ,0.9172,0.9567,0.9272,0.9397,0.8858,0.9396
T1-04,1_paraphrase,Khách hàng có thể huỷ hợp đồng bất kỳ lúc nào mà không mất phí phạt trong 30 ngày đầu.,"Trong 30 ngày đầu tiên, huỷ hợp đồng không bị tính phí phạt.",cosine rất cao,Rút gọn câu nhưng giữ đủ ý,0.8165,0.9328,0.8640,0.9367,0.7691,0.8532
T1-05,1_paraphrase,"Quyết định 198/QĐ-TCT do Tổng cục Thuế ban hành, áp dụng từ quý II năm 2026.","Tổng cục Thuế là cơ quan ban hành Quyết định 198/QĐ-TCT, có hiệu lực từ quý II/2026.",cosine rất cao,Đồng nghĩa nhưng khác thứ tự thông tin,0.9207,0.9672,0.9326,0.9498,0.8144,0.8416
T2-01,2_same_entity_diff_attribute_DANGER,Quyết định 198/QĐ-TCT được ban hành ngày 15/03/2026.,Quyết định 198/QĐ-TCT có hiệu lực thi hành từ ngày 01/04/2026.,PHẢI thấp hơn rõ rệt so với T1 (cùng văn bản nhưng khác thuộc tính: ngày ban hành vs ngày hiệu lực),Nếu cosine gần bằng T1 -> fact retrieval sẽ trả nhầm ngày ban hành khi hỏi ngày hiệu lực và ngược lại,0.8765,0.9766,0.8715,0.9403,0.8248,0.8665
T2-02,2_same_entity_diff_attribute_DANGER,Gói cước MIU có giá 50.000đ/tháng.,Gói cước MIU hết hạn đăng ký vào ngày 31/12/2026.,"PHẢI thấp hơn rõ rệt so với T1 (cùng gói cước, khác thuộc tính: giá vs hạn đăng ký)",Nhầm lẫn giá và hạn đăng ký của cùng 1 gói,0.7172,0.8346,0.6214,0.7379,0.6819,0.6310
T2-03,2_same_entity_diff_attribute_DANGER,Thuê bao phải đăng ký lại thông tin trước ngày 30/06/2026.,Việc đăng ký lại thông tin thuê bao được miễn phí trong lần đầu thực hiện.,"PHẢI thấp hơn rõ rệt so với T1 (cùng chủ đề đăng ký lại, khác thuộc tính: hạn chót vs miễn phí)",Nhầm lẫn giữa deadline và chính sách phí của cùng 1 thủ tục,0.6008,0.7486,0.6741,0.7302,0.5570,0.5709
T2-04,2_same_entity_diff_attribute_DANGER,Quyết định 198/QĐ-TCT do Tổng cục Thuế ban hành.,Quyết định 198/QĐ-TCT áp dụng cho các doanh nghiệp có vốn đầu tư nước ngoài.,"PHẢI thấp hơn rõ rệt so với T1 (cùng văn bản, khác thuộc tính: đơn vị ban hành vs phạm vi áp dụng)",Nhầm cơ quan ban hành với đối tượng áp dụng,0.5581,0.7671,0.7719,0.7743,0.6599,0.6024
T2-05,2_same_entity_diff_attribute_DANGER,"Theo Quyết định 198, 'Thuê bao trả trước' là loại thuê bao nạp tiền trước khi sử dụng dịch vụ.","Theo quy định riêng cho gói doanh nghiệp, 'Thuê bao trả trước' là thuê bao được cấp hạn mức tín dụng theo hợp đồng riêng.",PHẢI thấp hơn rõ rệt so với T1 (cùng thuật ngữ định nghĩa nhưng khác văn bản/ngữ cảnh -> khác nghĩa),"Đây là bẫy definiendum kinh điển: cùng 1 term, 2 định nghĩa khác nhau theo business/version -> nếu cosine cao, fact search sẽ trộn 2 định nghĩa",0.7793,0.7939,0.7870,0.7540,0.7166,0.7012
